,Fold,eta,alpha,Error_0_Layers,1_Layer,Error_1_Layer,2_Layers,Error_2_Layers
0,0,0.1,0.0,0.0017609913411806,[1],1.7066113309714837,"[1, 3]",1.5539193363368655
1,0,0.1,0.8,5.801133697568189,[3],1.6631392519122403,"[3, 2]",1.4734191175372306
2,0,0.1,0.9,4.9207686238318535,[2],2.1031378821254183,"[2, 1]",1.4424908158439225
3,0,0.2,0.0,8.211601961079944,[1],1.6035800779594744,"[1, 3]",1.6791932676084445
4,0,0.2,0.8,10.560552144385143,[2],1.5128156191672983,"[2, 1]",1.439691974858671
5,0,0.2,0.9,13.116899979467595,[2],1.4992478930020994,"[2, 2]",1.433191376072478
6,0,0.3,0.0,16.27424349116017,[1],2.940058470180742,"[1, 3]",1.71571042609846
7,0,0.3,0.8,11.893425676093468,[3],1.971460787795901,"[3, 1]",1.6048770935313237
8,0,0.3,0.9,17.064599321731052,[1],1.3939307578189553,"[1, 2]",1.4095952738004405
9,1,0.1,0.0,7.970358821840591,[1],1.3848111776668417,"[1, 3]",1.4498504555615073
10,1,0.1,0.8,7.061177896728905,[2],1.5260552118598478,"[2, 2]",1.570481158508753
11,1,0.1,0.9,11.886503558631398,[1],1.5204759046689889,"[1, 1]",1.2822110924878014
12,1,0.2,0.0,9.611657726394466,[2],2.1661943345939285,"[2, 3]",1.6780933386364285
13,1,0.2,0.8,9.516602996223758,[1],1.6065082387966336,"[1, 1]",1.3725848150356936
14,1,0.2,0.9,14.540557470784966,[5],2.392224383646612,"[5, 2]",1.5373436190489036
15,1,0.3,0.0,9.561389164649896,[1],3.1854696516357874,"[1, 3]",1.6779731847664163
16,1,0.3,0.8,11.516477432919782,[1],1.6976851983953924,"[1, 4]",1.8959936255938523
17,1,0.3,0.9,23.99885732768024,[1],1.5522233319077463,"[1, 1]",1.43714030820491
18,2,0.1,0.0,3.291980854181143,[3],2.027703503470856,"[3, 1]",1.4864080184362287
19,2,0.1,0.8,7.535178535946215,[2],1.488480903909861,"[2, 2]",1.452669645515219
20,2,0.1,0.9,10.215786695148095,[2],1.312641061451599,"[2, 1]",1.558595662618751
21,2,0.2,0.0,9.166149774302417,[2],1.91915245298068,"[2, 1]",1.4947929354667937
22,2,0.2,0.8,0.0001306141525491,[3],2.293916897478428,"[3, 4]",1.480449231954267
23,2,0.2,0.9,15.331413141355132,[3],1.2264923561202965,"[3, 1]",1.5410937497644177
24,2,0.3,0.0,7.022872122638275,[3],1.649160213170635,"[3, 2]",1.493004570408475
25,2,0.3,0.8,17.844584124032696,[1],1.3791762959790108,"[1, 4]",1.7908171612103925
26,2,0.3,0.9,17.082033081927676,[3],3.8638490245702273,"[3, 3]",1.7258195739763402
27,3,0.1,0.0,0.0186905783078347,[3],0.8448440405309645,"[3, 1]",1.5285701373358311
28,3,0.1,0.8,0.0134930602882957,[2],1.4892521769374278,"[2, 5]",1.619348160332645
29,3,0.1,0.9,7.993586633189209,[3],1.9440720447637256,"[3, 1]",1.4234822151253177
30,3,0.2,0.0,0.0004265142239324,[4],1.9801226048141407,"[4, 4]",1.3914370996811216
31,3,0.2,0.8,0.0003934933260855,[2],1.702321254590133,"[2, 1]",1.3936637917034522
32,3,0.2,0.9,8.253065048230564e-05,[1],1.4199637433821364,"[1, 2]",1.5875642363199804
33,3,0.3,0.0,0.0001372280475169,[3],0.9890236231631409,"[3, 1]",1.5325147157851964
34,3,0.3,0.8,3.700815256115154e-08,[1],2.1336521682091845,"[1, 1]",1.5148245716973847
35,3,0.3,0.9,20.23575026873615,[3],1.2942858424506047,"[3, 1]",2.287100953249616
36,4,0.1,0.0,8.580728480748295,[4],1.205986177915275,"[4, 3]",1.2178507290387433
37,4,0.1,0.8,6.50500095355392,[5],0.8535780894538433,"[5, 5]",0.9400316825048282
38,4,0.1,0.9,7.82784954151534,[1],1.6906700631989338,"[1, 4]",1.4183636896650236
39,4,0.2,0.0,0.0010980813997602,[2],1.4764795783777738,"[2, 1]",1.396814805566613
40,4,0.2,0.8,5.568502277492302e-05,[3],1.6659798994670023,"[3, 1]",1.4899508979471947
41,4,0.2,0.9,10.205663097334334,[1],1.5097915034382168,"[1, 1]",1.4828813547838342
42,4,0.3,0.0,5.856515552699019,[2],1.7162022969678656,"[2, 3]",1.8416571988189656
43,4,0.3,0.8,4.430301093396108e-05,[1],1.5903108280741252,"[1, 1]",1.4986432827275604
44,4,0.3,0.9,16.434331313916335,[2],1.6931226398867372,"[2, 5]",1.841393487894022
45,5,0.1,0.0,0.0037239794175083,[1],1.4178162609436418,"[1, 5]",1.524657178045131
46,5,0.1,0.8,0.0029090701330817,[2],1.5353346631562468,"[2, 3]",1.6442096306569969
47,5,0.1,0.9,7.975675333842583,[1],1.503664055826748,"[1, 3]",1.3538188127435935
48,5,0.2,0.0,8.119394164291819e-05,[2],1.815074215841188,"[2, 2]",1.7360131047846754
49,5,0.2,0.8,0.000333362227459,[2],1.5497829734910726,"[2, 2]",1.5071461753039088
50,5,0.2,0.9,16.23475425960955,[3],1.5267377728907583,"[3, 4]",1.638576760491952
51,5,0.3,0.0,13.998578596193552,[1],1.7286775923027966,"[1, 1]",1.5548076140602851
52,5,0.3,0.8,9.72743154284396,[2],1.7069659244946749,"[2, 5]",1.8403763468922527
53,5,0.3,0.9,16.936250352905347,[2],1.6408689734343929,"[2, 2]",1.5524591184582468
54,6,0.1,0.0,9.29771929355338,[2],1.4624250389876274,"[2, 1]",1.3166160103766886
55,6,0.1,0.8,6.782534358113356,[5],1.6705183147828977,"[5, 2]",1.5203455572457525
56,6,0.1,0.9,5.93338588380303,[4],1.378393176554319,"[4, 1]",1.449996932948338
57,6,0.2,0.0,13.5038288691764,[1],1.492777500252788,"[1, 5]",1.5773999761752169
58,6,0.2,0.8,11.474170668961802,[2],1.5676387200750916,"[2, 2]",1.4363767199900233
59,6,0.2,0.9,6.77114072727644,[3],1.7429766666306044,"[3, 2]",1.5454704160154071
60,6,0.3,0.0,4.660716257377495e-13,[1],1.5659023431441934,"[1, 4]",1.5797019699387351
61,6,0.3,0.8,13.58778091696918,[5],5.443471835980598,"[5, 1]",1.5769986022609357
62,6,0.3,0.9,16.021469354252975,[2],2.35224082124897,"[2, 2]",1.5778627191044103
63,7,0.1,0.0,6.515384702945305,[1],1.5930863054673736,"[1, 2]",1.5539888817546688
64,7,0.1,0.8,4.873047305539324,[2],1.69625441237243,"[2, 1]",1.5569329145770672
65,7,0.1,0.9,6.847557829518274,[1],1.886963294906985,"[1, 2]",1.2990414856300418
66,7,0.2,0.0,9.53073553093317,[1],1.435403944009124,"[1, 3]",1.413467016502499
67,7,0.2,0.8,9.655708699052548,[1],1.4444719063436366,"[1, 1]",1.4233214250120725
68,7,0.2,0.9,7.676662311250145,[1],1.2291987870966243,"[1, 3]",1.5421812068540124
