,Fold,eta,alpha,Error_0_Layers,1_Layers,Error_1_Layers,2_Layers,Error_2_Layers
0,0,0.1,0.0,2.047514949141452e+20,[4],20202.84927563871,"[4, 1]",37400.53308912365
1,0,0.1,0.8,1.8533067346710384e+17,[2],20040.647462452813,"[2, 2]",26442.34421463267
2,0,0.1,0.9,655250401861176.2,[2],23837.66255441081,"[2, 1]",26487.217306704315
3,0,0.2,0.0,2.5023646499483166e+44,[1],35734.375045185494,"[1, 1]",31559.75976128592
4,0,0.2,0.8,1.2722344912392552e+26,[1],37319.43115312888,"[1, 1]",22806.621332175582
5,0,0.2,0.9,1.163639465282146e+21,[3],19541.412212419127,"[3, 1]",31388.783805698196
6,0,0.3,0.0,1.7430376817361872e+71,[1],23138.60460599692,"[1, 2]",26683.441902189337
7,0,0.3,0.8,9.217358956631776e+33,[2],28602.12459729952,"[2, 1]",28866.84667268112
8,0,0.3,0.9,1.5029139419040102e+24,[4],30111.54511863337,"[4, 2]",36884.09114814619
9,1,0.1,0.0,2.98850584421681e+21,[2],16517.313627162697,"[2, 1]",32144.41547725981
10,1,0.1,0.8,7.766954346887999e+17,[2],22680.09130449861,"[2, 1]",20262.44610880664
11,1,0.1,0.9,322088454206096.44,[3],30357.6995954576,"[3, 3]",31917.378775180077
12,1,0.2,0.0,3.2682098303778214e+46,[2],22201.90391084031,"[2, 1]",28392.03693907093
13,1,0.2,0.8,1.5123925676398722e+29,[1],20484.100445600463,"[1, 1]",30147.378914784826
14,1,0.2,0.9,1.022187509279682e+23,[1],22315.056063932425,"[1, 1]",22882.85714544983
15,1,0.3,0.0,6.897227042559779e+75,[1],38102.2434742007,"[1, 3]",32153.007338179043
16,1,0.3,0.8,1.3055033410070268e+33,[1],29505.970818305625,"[1, 1]",24348.55531072737
17,1,0.3,0.9,3.396864727932765e+24,[1],21983.240250038078,"[1, 1]",28417.84295564509
18,2,0.1,0.0,1.5215615747972817e+19,[2],19922.604583640015,"[2, 2]",29115.74252421313
19,2,0.1,0.8,2.4088957141040536e+16,[2],27720.871855022004,"[2, 1]",22162.214244991257
20,2,0.1,0.9,15135685263108.633,[2],26486.68267275325,"[2, 1]",27041.034428224833
21,2,0.2,0.0,3.034440503277367e+39,[2],18612.182131694346,"[2, 1]",25258.51120754871
22,2,0.2,0.8,8.446365001117198e+24,[2],26575.401122528037,"[2, 1]",28211.90237904283
23,2,0.2,0.9,1.6775786291417244e+21,[2],30561.105828737836,"[2, 2]",28553.73938486214
24,2,0.3,0.0,1.3057457189154746e+63,[2],32333.357389095243,"[2, 2]",30417.588733922927
25,2,0.3,0.8,8.826018207404186e+31,[2],24823.751673827883,"[2, 3]",30444.174536715935
26,2,0.3,0.9,5.5465514737795755e+26,[3],18624.74879377989,"[3, 1]",28273.989160128498
27,3,0.1,0.0,5.686735301689788e+18,[2],29604.14103677195,"[2, 3]",28371.000602043317
28,3,0.1,0.8,2380056200014051.0,[1],32077.657482308387,"[1, 1]",21640.123595412257
29,3,0.1,0.9,34301832595049.77,[2],16913.190875867575,"[2, 1]",26462.34977457477
30,3,0.2,0.0,,,,,
31,3,0.2,0.8,,,,,
32,3,0.2,0.9,,,,,
33,3,0.3,0.0,,,,,
34,3,0.3,0.8,,,,,
35,3,0.3,0.9,,,,,
36,4,0.1,0.0,,,,,
37,4,0.1,0.8,,,,,
38,4,0.1,0.9,,,,,
39,4,0.2,0.0,,,,,
40,4,0.2,0.8,,,,,
41,4,0.2,0.9,,,,,
42,4,0.3,0.0,,,,,
43,4,0.3,0.8,,,,,
44,4,0.3,0.9,,,,,
45,5,0.1,0.0,,,,,
46,5,0.1,0.8,,,,,
47,5,0.1,0.9,,,,,
48,5,0.2,0.0,,,,,
49,5,0.2,0.8,,,,,
50,5,0.2,0.9,,,,,
51,5,0.3,0.0,,,,,
52,5,0.3,0.8,,,,,
53,5,0.3,0.9,,,,,
54,6,0.1,0.0,,,,,
55,6,0.1,0.8,,,,,
56,6,0.1,0.9,,,,,
57,6,0.2,0.0,,,,,
58,6,0.2,0.8,,,,,
59,6,0.2,0.9,,,,,
60,6,0.3,0.0,,,,,
61,6,0.3,0.8,,,,,
62,6,0.3,0.9,,,,,
63,7,0.1,0.0,,,,,
64,7,0.1,0.8,,,,,
65,7,0.1,0.9,,,,,
66,7,0.2,0.0,,,,,
67,7,0.2,0.8,,,,,
68,7,0.2,0.9,,,,,
69,7,0.3,0.0,,,,,
70,7,0.3,0.8,,,,,
71,7,0.3,0.9,,,,,
72,8,0.1,0.0,,,,,
73,8,0.1,0.8,,,,,
74,8,0.1,0.9,,,,,
75,8,0.2,0.0,,,,,
76,8,0.2,0.8,,,,,
77,8,0.2,0.9,,,,,
78,8,0.3,0.0,,,,,
79,8,0.3,0.8,,,,,
80,8,0.3,0.9,,,,,
81,9,0.1,0.0,,,,,
82,9,0.1,0.8,,,,,
83,9,0.1,0.9,,,,,
84,9,0.2,0.0,,,,,
85,9,0.2,0.8,,,,,
86,9,0.2,0.9,,,,,
87,9,0.3,0.0,,,,,
88,9,0.3,0.8,,,,,
89,9,0.3,0.9,,,,,
